,Entry Index,Avg Entry Price,PnL,Direction,Status,tick_volume,atr
221,2023-02-27 01:50:00,1.05535,1,Short,Closed,91,0.00020285934811082996
222,2023-02-27 02:20:00,1.05503,1,Long,Closed,243,0.00026981206772841264
223,2023-02-27 03:15:00,1.05552,1,Short,Closed,221,0.0002823575226650721
224,2023-02-27 05:50:00,1.05433,1,Long,Closed,119,0.0002822109831765631
225,2023-02-27 07:10:00,1.05483,1,Short,Closed,148,0.00022824387900153333
226,2023-02-27 07:45:00,1.05414,1,Long,Closed,146,0.00023570544796306476
227,2023-02-27 09:40:00,1.05456,0,Short,Closed,345,0.000371980377150137
228,2023-03-03 01:15:00,1.05996,1,Short,Closed,132,0.00017215233650447347
229,2023-03-03 02:15:00,1.05984,1,Long,Closed,73,0.00015935906067338077
230,2023-03-03 02:35:00,1.06003,0,Short,Closed,110,0.00018841613212964772
231,2023-03-03 05:10:00,1.06045,1,Long,Closed,174,0.0002858739759744724
232,2023-03-03 07:15:00,1.06096,0,Short,Closed,72,0.00019202572771483215
233,2023-03-03 10:10:00,1.06155,1,Long,Closed,392,0.0004052615877024898
234,2023-03-06 00:10:00,1.06236,1,Long,Closed,5,0.00026914887262057956
235,2023-03-06 02:25:00,1.06335,1,Short,Closed,138,0.00025994983829513403
236,2023-03-06 03:30:00,1.06278,1,Long,Closed,213,0.00029187178734058506
237,2023-03-06 04:10:00,1.0630600000000001,0,Short,Closed,143,0.00032606230372864023
238,2023-03-06 06:45:00,1.06447,1,Long,Closed,84,0.00025369132680070684
239,2023-03-06 07:30:00,1.06457,1,Short,Closed,106,0.00024552771254173926
240,2023-03-06 08:50:00,1.0642800000000001,1,Long,Closed,171,0.00030227504059304966
241,2023-03-06 09:45:00,1.06523,1,Short,Closed,289,0.00035758322338481344
242,2023-03-07 00:05:00,1.06759,0,Short,Closed,130,0.0002466020530786113
243,2023-03-07 00:10:00,1.06763,1,Long,Closed,815,0.00023898762071585542
244,2023-03-07 01:35:00,1.06849,1,Short,Closed,57,0.00026130378057267784
245,2023-03-07 03:15:00,1.06792,1,Long,Closed,138,0.00022001441582251277
246,2023-03-07 03:45:00,1.06815,0,Short,Closed,216,0.00025613854856685394
247,2023-03-07 08:05:00,1.06842,1,Long,Closed,157,0.0002135543256988342
248,2023-03-07 09:50:00,1.06857,1,Short,Closed,382,0.0003883788424464047
249,2023-03-07 10:30:00,1.06759,0,Long,Closed,446,0.0004642822262872047
250,2023-03-09 00:45:00,1.05411,1,Long,Closed,24,0.00017532336772148433
251,2023-03-09 01:30:00,1.05473,1,Short,Closed,142,0.00017444981476135116
252,2023-03-09 03:05:00,1.05472,1,Long,Closed,146,0.00021784422421798237
253,2023-03-09 05:05:00,1.05446,0,Short,Closed,89,0.00023645169434201744
254,2023-03-09 08:35:00,1.05499,1,Long,Closed,125,0.0002004227004623873
255,2023-03-09 09:45:00,1.05555,0,Short,Closed,123,0.00028316864812055347
256,2023-03-13 00:40:00,1.06811,0,Short,Closed,57,0.0005647258816895718
257,2023-03-13 03:15:00,1.06891,1,Long,Closed,513,0.000841553121948681
258,2023-03-13 03:40:00,1.06957,1,Short,Closed,480,0.0007752391178298063
259,2023-03-13 04:50:00,1.06744,1,Long,Closed,467,0.0006312373409460779
260,2023-03-13 06:10:00,1.07322,1,Short,Closed,529,0.000848484402270739
261,2023-03-13 09:50:00,1.07225,1,Long,Closed,362,0.00047297999586037306
262,2023-03-13 10:55:00,1.07282,1,Short,Closed,386,0.0006343342196598351
263,2023-03-20 00:10:00,1.06836,1,Short,Closed,32,0.0004444440911868146
264,2023-03-20 01:30:00,1.06764,1,Long,Closed,570,0.0003198843553439708
265,2023-03-20 02:55:00,1.06769,0,Short,Closed,188,0.0003300611286697448
266,2023-03-20 05:05:00,1.0677699999999999,0,Long,Closed,277,0.00044282468706692075
267,2023-03-20 08:40:00,1.06717,1,Short,Closed,200,0.00031477748067836877
268,2023-03-20 10:00:00,1.0661,1,Long,Closed,943,0.000447537840037252
269,2023-03-21 00:10:00,1.07175,1,Long,Closed,21,0.0002256155572133148
